user_id,session_id,timestamp,profession,tool,use_case,iterations,prompt_complexity,quality_with_ai,quality_without_ai,productivity_gain,final_quality_label,confidence_with_ai,confidence_without_ai,overreliance_score,learning_loss,hallucination_flag,failure_type,ease_of_use,ui_complexity,requires_login,subscription_type,session_length,deadline_pressure
45172,135436,2024-05-19 04:02:42,YouTuber,Cursor AI,Learning New Topic,4,low,8.0,3.887764700526292,41.12,high,8,4,5.51,1,0,none,7,high,0,freemium,40,low
21313,143683,2024-08-13 06:26:04,Researcher,DALL-E,Email Drafting,3,medium,7.5,3.9990729017696314,35.01,medium,8,2,4.92,1,0,none,6,high,0,free,24,high
19125,149973,2023-12-31 12:01:23,Consultant,GitHub Copilot,Learning New Topic,4,medium,8.0,5.346028825463556,26.54,high,8,5,3.57,1,0,none,8,low,0,free,23,low
8404,8614,2024-08-18 16:32:29,Military Officer,ChatGPT,Resume Building,5,medium,8.5,6.992098431515563,15.08,high,8,5,8.64,0,0,none,6,high,0,paid,42,low
23964,107206,2023-09-23 19:58:59,Mechanical Engineer,Canva AI,Research Summary,5,high,8.5,4.5058233034801205,39.94,high,8,4,3.43,0,0,none,9,medium,1,free,52,low
30947,60637,2024-11-01 09:35:30,Software Developer,Claude,UI Design,2,low,7.0,3.922324052403361,30.78,medium,6,4,8.16,1,1,hallucination,10,medium,1,free,55,low
13894,182615,2024-04-06 03:56:03,Consultant,GitHub Copilot,Business Strategy,6,high,9.0,4.235001453846271,47.65,high,8,3,5.65,0,0,none,6,low,0,free,42,low
23465,46276,2023-05-28 11:21:19,Business Analyst,Pictory,UI Design,3,high,7.5,4.55723613060967,29.43,medium,8,4,6.99,1,1,irrelevant,9,low,0,paid,38,high
41275,133384,2023-12-21 02:25:24,Professor,Gemini,Code Generation,1,medium,6.5,4.286701952208385,22.13,medium,6,5,6.26,1,0,none,7,medium,1,free,42,low
25614,133553,2024-06-10 16:33:59,Business Analyst,Perplexity AI,Essay Writing,5,low,8.5,3.0821164679796227,54.18,high,7,3,4.88,1,0,none,7,high,1,freemium,60,low
15628,186843,2023-02-07 18:07:54,HR Manager,Notion AI,Exam Preparation,2,high,7.0,4.203134440701499,27.97,medium,6,4,4.38,0,0,none,9,medium,0,paid,25,low
20353,37289,2023-08-26 17:32:50,Police Officer,Cursor AI,Medical Notes,1,medium,6.5,4.7533178870172055,17.47,medium,6,6,4.73,0,1,incomplete,6,high,0,freemium,18,low
12906,40923,2024-10-17 02:42:37,Lawyer,Grammarly AI,Business Strategy,1,low,6.5,5.12097075375194,13.79,medium,5,4,8.59,1,0,none,7,high,0,freemium,16,low
45311,114730,2023-11-25 04:37:10,Business Analyst,Canva AI,Essay Writing,6,medium,9.0,3.7814968195210827,52.19,high,8,5,3.18,1,0,none,6,low,1,freemium,18,high
10127,51631,2024-12-14 16:49:00,Accountant,Runway AI,Essay Writing,1,high,6.5,5.4822558620650845,10.18,medium,6,4,7.17,0,1,hallucination,7,medium,1,free,13,low
16117,139664,2023-01-02 10:54:14,Consultant,DALL-E,Essay Writing,4,medium,8.0,5.997355478211205,20.03,high,7,4,5.69,0,0,none,7,medium,1,free,44,low
7192,27966,2023-05-08 01:47:59,Researcher,Midjourney,Email Drafting,5,high,8.5,6.87765707649823,16.22,high,7,6,3.37,1,1,hallucination,6,medium,1,freemium,24,high
46339,95355,2023-12-15 00:42:12,Marketing Manager,Replit Ghostwriter,Code Debugging,1,medium,6.5,6.008573378399677,4.91,medium,6,4,3.03,0,0,none,10,medium,1,freemium,45,low
48474,100890,2023-07-28 19:57:06,Business Analyst,DALL-E,Marketing Copy,4,low,8.0,4.183769695581684,38.16,high,7,3,4.8,0,0,none,6,high,1,paid,52,high
20996,158728,2023-10-26 18:11:20,Scientist,Synthesia,Email Drafting,1,medium,6.5,4.568142518612674,19.32,medium,5,4,8.12,0,0,none,5,low,1,paid,46,medium
27419,40884,2023-05-19 21:55:07,Data Scientist,Runway AI,Essay Writing,5,high,8.5,3.265187994620766,52.35,high,8,3,8.47,1,0,none,5,high,1,freemium,21,medium
12964,59355,2024-03-05 10:47:34,Marketing Manager,Pictory,Code Generation,1,low,6.5,5.2709519295379135,12.29,medium,6,6,5.14,1,0,none,10,medium,1,free,6,low
20135,199120,2024-03-22 03:09:17,Scientist,AutoGPT,Video Creation,3,low,7.5,5.500121002170863,20.0,medium,6,4,5.23,1,1,incomplete,10,low,1,free,33,low
10976,170656,2023-06-24 08:54:32,Pharmacist,DALL-E,Essay Writing,5,medium,8.5,5.684194575140513,28.16,high,7,5,4.52,1,0,none,6,high,0,freemium,31,high
36874,188665,2024-11-29 22:58:45,Researcher,Notion AI,Video Creation,5,high,8.5,4.932147081775309,35.68,high,8,4,5.63,0,1,hallucination,5,medium,0,freemium,18,medium
23266,109094,2024-02-28 10:32:13,Pharmacist,Midjourney,Blog Writing,6,medium,9.0,6.58762861928775,24.12,high,9,5,7.79,0,1,irrelevant,5,medium,1,paid,53,low
43852,110049,2024-09-28 17:59:45,HR Manager,Canva AI,Blog Writing,4,medium,8.0,5.605420081128855,23.95,high,8,6,6.68,0,0,none,8,medium,0,paid,45,low
7258,167335,2023-03-17 07:26:57,Lawyer,Perplexity AI,Resume Building,1,medium,6.5,5.050060709089795,14.5,medium,6,4,7.44,0,0,none,9,medium,1,freemium,32,medium
44770,127207,2023-07-09 22:53:46,Accountant,Grammarly AI,UI Design,4,low,8.0,3.8972398162406185,41.03,high,7,5,4.88,1,0,none,9,medium,0,free,52,high
9618,137848,2024-10-25 03:51:36,Police Officer,Canva AI,Marketing Copy,2,high,7.0,4.354828745453619,26.45,medium,7,4,7.93,0,0,none,7,low,0,free,32,high
44076,64845,2024-01-10 08:35:23,Pharmacist,Midjourney,Business Strategy,4,low,8.0,3.835087904137398,41.65,high,7,4,4.22,1,1,hallucination,7,medium,0,free,11,low
2530,52636,2024-02-21 01:17:18,Professor,Synthesia,Image Generation,4,low,8.0,5.484352793136319,25.16,high,7,6,6.18,1,0,none,10,medium,1,free,15,high
33103,34979,2023-07-26 06:25:51,Police Officer,Claude,Medical Notes,6,low,9.0,6.475096999873502,25.25,high,8,6,5.28,0,0,none,9,low,1,freemium,12,low
40374,80571,2023-01-05 09:58:52,Architect,Runway AI,Code Debugging,6,high,9.0,6.306497874426036,26.94,high,8,7,6.89,1,0,none,9,high,0,free,36,high
27724,96245,2023-04-26 17:53:13,Journalist,Claude,Legal Drafting,5,low,8.5,4.543066529759253,39.57,high,7,4,7.96,1,0,none,8,low,1,free,12,high
22080,13647,2023-01-17 11:12:57,Doctor,Replit Ghostwriter,Medical Notes,4,high,8.0,3.015315327349729,49.85,high,7,3,5.92,1,0,none,6,medium,1,freemium,8,medium
14386,21288,2024-08-08 19:44:16,Lawyer,GitHub Copilot,Presentation Creation,5,medium,8.5,6.093338436477023,24.07,high,9,6,3.14,0,1,incomplete,8,medium,0,freemium,20,medium
25161,158400,2024-09-13 13:42:56,Consultant,Perplexity AI,Image Generation,5,low,8.5,3.858023290971583,46.42,high,9,2,6.08,1,0,none,10,low,1,free,55,high
15506,125494,2024-01-19 11:35:07,Police Officer,DALL-E,Code Generation,3,medium,7.5,4.591072821701141,29.09,medium,6,6,4.24,0,1,irrelevant,8,medium,1,free,33,medium
38548,159547,2024-03-13 02:34:51,Lawyer,Midjourney,Research Summary,4,low,8.0,3.7826912800431054,42.17,high,7,3,7.33,1,0,none,8,high,1,free,34,low
9321,104460,2023-04-03 13:52:26,Researcher,GitHub Copilot,Essay Writing,3,medium,7.5,4.547216960178202,29.53,medium,6,4,8.52,1,0,none,7,low,0,free,36,medium
6962,125173,2023-11-28 19:39:26,Sales Executive,Cursor AI,Code Generation,2,high,10.0,3.634942733168827,63.65,high,10,4,3.36,1,0,none,5,low,0,freemium,9,high
41384,176763,2023-08-29 05:47:04,Judge,Runway AI,Code Debugging,1,low,6.5,3.89628617789698,26.04,medium,5,3,8.12,1,0,none,7,high,0,paid,27,low
10576,73434,2024-10-05 03:14:16,Accountant,DALL-E,Blog Writing,6,medium,9.0,3.726479994160106,52.74,high,8,3,8.54,1,0,none,10,low,1,freemium,27,high
45271,63886,2024-12-14 01:56:48,Entrepreneur,DALL-E,Presentation Creation,4,medium,8.0,6.05739698747551,19.43,high,8,7,3.5,0,1,incomplete,7,low,0,freemium,49,medium
44602,21600,2023-11-11 23:24:14,Mechanical Engineer,Claude,Research Summary,2,high,7.0,3.878155734880651,31.22,medium,6,5,3.92,0,0,none,9,low,0,free,33,medium
16261,55672,2024-10-01 23:31:39,Content Creator,Perplexity AI,Exam Preparation,6,high,9.0,3.8204910962770633,51.8,high,8,2,6.68,0,0,none,7,high,0,paid,9,low
37521,21894,2024-06-27 10:07:21,Electrical Engineer,Pictory,Blog Writing,2,high,7.0,4.322145767714129,26.78,medium,7,3,8.75,1,1,hallucination,5,low,1,free,47,medium
14624,57724,2023-07-02 11:48:47,Teacher,Midjourney,UI Design,3,medium,7.5,4.274612747655754,32.25,medium,8,3,3.21,0,0,none,6,low,1,paid,7,low
42898,112632,2023-12-14 20:01:35,Marketing Manager,Pictory,Presentation Creation,6,low,9.0,6.45722116904664,25.43,high,8,5,5.19,1,1,irrelevant,6,medium,0,free,35,high
33591,105782,2023-02-11 08:26:34,Teacher,Grammarly AI,Marketing Copy,1,medium,6.5,6.2982372101636415,2.02,medium,6,6,7.78,0,0,none,10,high,0,paid,45,low
26395,97112,2024-05-16 02:47:28,Business Analyst,Runway AI,Marketing Copy,5,high,8.5,3.0332996196671895,54.67,high,8,4,5.96,0,1,incomplete,8,high,0,paid,23,high
18217,129347,2024-02-15 10:57:52,Video Editor,Claude,Code Debugging,6,high,9.0,5.49968352562523,35.0,high,8,6,8.99,1,1,hallucination,7,medium,1,freemium,7,low
6929,99454,2024-12-02 15:06:31,Consultant,Cursor AI,Legal Drafting,3,low,7.5,3.5951890911861435,39.05,medium,7,3,8.87,1,0,none,8,high,1,paid,40,medium
48294,139550,2023-04-19 04:52:57,Judge,Replit Ghostwriter,Blog Writing,5,low,8.5,4.434561054388886,40.65,high,8,4,7.94,0,0,none,6,high,0,paid,54,low
41975,92880,2023-12-10 21:21:34,Judge,ChatGPT,Medical Notes,5,low,8.5,5.877972585657264,26.22,high,7,4,6.11,1,0,none,10,low,1,paid,36,medium
5950,69204,2023-10-12 09:59:11,Military Officer,Notion AI,Exam Preparation,5,medium,8.5,4.251343553168748,42.49,high,8,3,5.76,0,0,none,6,medium,0,freemium,9,low
44637,27351,2024-06-03 00:22:55,Scientist,AutoGPT,Data Analysis,5,medium,8.5,3.203888631445864,52.96,high,7,2,6.91,0,0,none,6,medium,0,free,18,high
20353,75996,2024-10-24 22:26:02,YouTuber,Synthesia,Image Generation,2,low,7.0,4.573887572446701,24.26,medium,6,4,3.47,0,0,none,6,low,1,paid,38,medium
15012,182213,2024-08-05 19:16:03,Journalist,GitHub Copilot,UI Design,4,high,8.0,3.727184482639108,42.73,high,7,2,7.05,1,1,incomplete,7,high,0,paid,25,low
14411,133911,2023-03-23 07:21:09,Student,ChatGPT,Video Creation,5,high,8.5,4.751045027295751,37.49,high,9,4,7.15,0,0,none,10,medium,1,free,60,high
16623,138446,2024-09-25 09:10:09,Student,Perplexity AI,Image Generation,3,medium,7.5,4.716799194331099,27.83,medium,8,4,6.3,0,1,incomplete,10,high,1,freemium,15,low
23692,166792,2024-05-16 11:43:53,Electrical Engineer,Notion AI,UI Design,2,low,7.0,4.583275940327174,24.17,medium,7,5,6.38,0,1,incomplete,6,medium,0,paid,26,medium
18561,105082,2023-02-02 23:05:45,Interior Designer,Canva AI,Research Summary,6,high,9.0,6.869604613539372,21.3,high,8,6,8.63,1,1,incomplete,6,high,1,freemium,47,medium
31892,59183,2023-09-05 08:01:20,Military Officer,GitHub Copilot,Essay Writing,5,high,8.5,6.297046799019844,22.03,high,9,5,7.7,1,0,none,8,medium,0,paid,11,medium
14126,43294,2024-12-06 01:28:36,Professor,Grammarly AI,Data Analysis,2,high,7.0,3.0034761325794705,39.97,medium,6,3,5.92,0,0,none,9,high,0,free,35,medium
7599,96747,2024-01-15 02:10:13,Student,Notion AI,Business Strategy,1,medium,6.5,6.027083577322016,4.73,medium,6,6,8.4,1,0,none,7,high,0,freemium,40,low
26219,64708,2024-06-15 00:54:47,Police Officer,Cursor AI,Presentation Creation,1,high,6.5,5.879538609802452,6.2,medium,6,7,5.62,1,0,none,9,low,0,free,35,low
46302,102053,2024-11-25 08:14:30,Nurse,ChatGPT,Presentation Creation,6,low,9.0,5.402101995557908,35.98,high,9,4,3.33,0,1,incomplete,6,low,0,paid,10,high
10256,161217,2024-08-15 03:09:08,Civil Engineer,Notion AI,Data Analysis,5,low,8.5,6.638696910531253,18.61,high,8,5,7.12,0,0,none,10,low,1,paid,10,low
44681,51650,2023-04-18 20:53:50,Military Officer,Canva AI,Learning New Topic,2,high,7.0,3.7701451885831077,32.3,medium,6,3,6.26,1,1,incomplete,8,high,0,paid,45,low
21271,188264,2023-05-21 04:12:39,HR Manager,Midjourney,UI Design,5,medium,8.5,4.497068081370987,40.03,high,7,4,6.41,1,0,none,6,medium,1,freemium,19,low
32887,145740,2024-08-31 18:07:44,Business Analyst,Gemini,Code Generation,4,high,8.0,6.511614179903583,14.88,high,8,6,3.65,0,1,hallucination,6,medium,1,freemium,59,medium
1753,107971,2024-10-20 10:48:50,Entrepreneur,Canva AI,Blog Writing,4,medium,8.0,6.424164124148678,15.76,high,8,5,3.66,0,0,none,6,low,0,paid,20,high
45380,91616,2023-05-03 19:59:16,Mechanical Engineer,Synthesia,Resume Building,5,medium,8.5,4.565304813576869,39.35,high,7,5,6.17,0,0,none,7,medium,1,free,18,high
4435,168463,2023-07-25 18:45:26,Architect,Grammarly AI,Medical Notes,1,low,6.5,5.105202867781973,13.95,medium,6,5,8.26,1,0,none,6,high,0,free,11,low
46634,85470,2024-01-31 23:32:49,HR Manager,Canva AI,Business Strategy,4,high,8.0,5.8958869312190005,21.04,high,8,4,6.29,0,0,none,7,medium,0,paid,12,high
19627,184726,2024-01-27 07:39:48,Doctor,Cursor AI,Resume Building,2,high,7.0,4.812922357000517,21.87,medium,6,3,6.21,1,0,none,7,low,1,freemium,40,high
4884,180671,2024-09-18 07:16:34,Data Scientist,AutoGPT,Exam Preparation,3,medium,7.5,3.965764900471746,35.34,medium,8,4,3.36,1,1,incomplete,8,medium,0,paid,15,medium
49003,181326,2023-12-24 12:09:35,Business Analyst,Pictory,Medical Notes,5,high,8.5,5.791480336084749,27.09,high,7,6,6.14,0,1,incomplete,6,medium,1,free,39,low
30996,179969,2023-09-22 12:09:04,Data Scientist,ChatGPT,Code Generation,5,high,8.5,4.119198322524257,43.81,high,9,3,5.53,0,0,none,8,medium,0,freemium,24,low
16772,136611,2023-03-14 04:49:30,Civil Engineer,Gemini,Code Generation,4,low,8.0,4.371195405502645,36.29,high,8,5,5.1,1,0,none,5,medium,0,paid,20,low
32873,184419,2024-06-06 05:34:31,Software Developer,Runway AI,Learning New Topic,5,low,8.5,4.71730696257051,37.83,high,8,3,6.44,0,0,none,9,low,1,freemium,38,low
34158,14903,2024-07-24 22:21:04,Civil Engineer,Cursor AI,UI Design,3,medium,7.5,6.8437416180877,6.56,medium,6,7,8.54,1,0,none,10,medium,0,free,8,high
21401,59161,2024-09-01 13:53:55,Business Analyst,Replit Ghostwriter,Data Analysis,5,high,8.5,6.6122286509012795,18.88,high,9,6,8.54,1,0,none,7,high,1,free,8,medium
42412,142953,2023-12-21 05:20:18,Professor,Synthesia,Legal Drafting,5,low,8.5,5.354502424806839,31.45,high,9,6,3.43,0,0,none,6,medium,1,free,18,low
1452,56663,2023-09-11 13:33:39,Data Scientist,Perplexity AI,Code Debugging,5,low,8.5,5.19481787046454,33.05,high,8,5,7.4,0,1,hallucination,10,high,1,freemium,15,low
9659,20967,2023-12-23 19:24:40,Video Editor,Grammarly AI,Medical Notes,4,low,8.0,3.93420033487462,40.66,high,8,4,7.84,1,0,none,10,high,1,paid,56,high
49354,16719,2023-08-13 12:01:44,Nurse,Grammarly AI,Code Generation,5,low,8.5,4.745174291947643,37.55,high,8,3,7.76,0,0,none,8,low,1,paid,38,medium
32115,59209,2024-02-05 22:07:02,Sales Executive,AutoGPT,Marketing Copy,3,low,7.5,3.1475518697311973,43.52,medium,8,4,8.94,0,0,none,9,high,0,free,41,low
20250,141686,2023-04-18 20:18:27,Police Officer,Runway AI,UI Design,5,low,8.5,5.757783874208528,27.42,high,8,5,7.46,0,1,incomplete,7,high,0,freemium,37,high
39746,110982,2024-01-10 08:49:31,Teacher,Gemini,Blog Writing,3,low,10.0,6.579545685475317,34.2,high,9,8,4.0,1,0,none,9,high,1,free,58,low
14065,172667,2024-12-25 10:24:00,Nurse,Canva AI,Email Drafting,4,high,8.0,6.383465794815448,16.17,high,7,7,7.98,0,0,none,9,low,1,freemium,12,high
6068,197122,2024-07-05 11:42:47,Architect,DALL-E,Legal Drafting,1,high,6.5,4.930085593012514,15.7,medium,7,6,4.04,0,1,hallucination,9,medium,1,free,42,high
42551,69058,2023-08-16 04:47:20,Teacher,Runway AI,Image Generation,4,low,8.0,3.393479803753923,46.07,high,8,4,3.34,1,0,none,7,medium,1,free,11,high
36197,30175,2024-12-04 06:45:18,Data Scientist,Cursor AI,Learning New Topic,6,high,9.0,3.828262809687964,51.72,high,9,4,7.66,0,0,none,8,medium,1,freemium,52,medium
6193,147527,2023-09-14 08:52:49,Military Officer,Notion AI,Medical Notes,3,high,7.5,3.980293281948639,35.2,medium,6,3,5.98,1,0,none,7,medium,1,free,44,low
15413,197352,2024-08-19 11:32:26,Scientist,Cursor AI,Resume Building,2,high,7.0,5.649863341136435,13.5,medium,6,6,8.47,1,0,none,8,high,0,freemium,28,medium
19134,197035,2024-12-21 05:14:41,Doctor,Claude,Business Strategy,6,high,9.0,6.655904008470614,23.44,high,9,5,7.1,1,0,none,10,medium,0,paid,39,medium
135,171458,2023-05-27 03:36:33,Interior Designer,ChatGPT,Presentation Creation,3,low,7.5,5.155926144804836,23.44,medium,7,5,7.97,0,0,none,9,low,0,freemium,41,medium
32469,159092,2023-08-09 12:09:26,Scientist,Claude,Code Generation,5,low,8.5,4.040528175168502,44.59,high,9,5,6.46,1,1,incomplete,10,low,1,paid,48,high
29268,190178,2024-12-30 01:58:25,Doctor,AutoGPT,Email Drafting,5,low,8.5,5.369425890377837,31.31,high,8,5,3.96,0,0,none,7,medium,0,free,42,low
27790,193390,2024-06-01 20:01:12,Video Editor,Replit Ghostwriter,UI Design,6,high,9.0,4.6855090496566465,43.14,high,9,3,3.58,1,0,none,6,low,1,freemium,30,low
18868,57906,2023-07-22 01:30:44,Content Creator,Runway AI,Marketing Copy,1,high,6.5,5.320995795889747,11.79,medium,6,5,3.33,1,0,none,5,medium,0,free,27,medium
30738,155291,2024-04-17 14:55:06,Entrepreneur,AutoGPT,Legal Drafting,5,low,8.5,4.535691217461904,39.64,high,7,5,4.1,0,0,none,10,medium,0,free,54,medium
21729,123519,2024-11-18 00:39:27,Doctor,Synthesia,Blog Writing,1,high,6.5,4.897115212430737,16.03,medium,7,3,8.84,1,0,none,10,low,1,paid,51,medium
11059,40794,2023-06-25 02:21:37,Journalist,Midjourney,Research Summary,4,high,8.0,4.5641515083708,34.36,high,7,4,4.51,1,0,none,10,high,1,paid,15,medium
18771,74101,2024-04-29 05:37:48,Data Scientist,Claude,Exam Preparation,6,low,9.0,4.761638511266639,42.38,high,8,3,5.86,0,1,hallucination,6,medium,0,freemium,15,medium
5231,65595,2024-02-03 17:30:00,Mechanical Engineer,Notion AI,Research Summary,5,low,8.5,4.416650120733445,40.83,high,8,3,6.32,1,0,none,7,medium,1,paid,10,high
43313,61948,2024-09-30 22:44:24,Researcher,Pictory,Presentation Creation,4,high,8.0,6.797589110662326,12.02,high,7,5,8.3,0,0,none,10,medium,1,freemium,11,high
1422,46520,2024-09-22 01:50:43,Content Creator,Perplexity AI,Video Creation,1,high,6.5,6.615528496800957,-1.16,medium,6,7,5.75,0,0,none,10,medium,1,freemium,33,low
40401,178911,2023-12-28 00:12:36,Professor,Gemini,Learning New Topic,6,high,9.0,3.9099531369190723,50.9,high,8,4,8.0,0,1,irrelevant,9,low,1,paid,16,medium
38745,58522,2024-04-05 16:04:39,Accountant,Canva AI,Legal Drafting,5,high,8.5,6.817509001610992,16.82,high,8,6,8.71,1,0,none,8,medium,1,freemium,39,high
33147,153348,2023-06-23 09:28:06,Pharmacist,Replit Ghostwriter,Legal Drafting,2,high,7.0,6.3169182068257435,6.83,medium,7,5,6.04,0,1,hallucination,7,medium,1,free,54,low
2283,155732,2024-01-11 08:07:31,Graphic Designer,Notion AI,Data Analysis,4,low,8.0,5.916281073748217,20.84,high,8,6,3.51,1,0,none,9,low,1,free,49,high
45446,153779,2024-03-23 02:30:37,Nurse,Gemini,Essay Writing,4,high,10.0,4.633136105179576,53.67,high,10,4,8.82,1,0,none,10,high,0,paid,23,low
19264,194322,2023-05-21 08:27:47,Business Analyst,Replit Ghostwriter,Research Summary,6,low,9.0,6.682213251457366,23.18,high,9,5,4.13,1,0,none,5,high,0,paid,34,low
20233,56811,2023-09-28 12:06:09,Doctor,Replit Ghostwriter,Resume Building,5,high,8.5,5.59294024305026,29.07,high,8,6,8.33,0,0,none,5,low,1,free,7,low
11120,66441,2024-04-14 15:32:19,Sales Executive,Canva AI,Code Generation,4,high,8.0,3.5558535010881487,44.44,high,8,3,6.56,0,0,none,5,medium,1,paid,32,high
42612,120508,2023-12-04 15:07:56,Police Officer,Cursor AI,Email Drafting,3,high,7.5,4.533133185918189,29.67,medium,7,3,8.48,0,0,none,8,low,1,freemium,44,medium
8840,196167,2024-08-22 00:26:25,Marketing Manager,Perplexity AI,Learning New Topic,3,medium,7.5,6.0080339896848685,14.92,medium,6,5,6.96,0,0,none,6,medium,0,freemium,36,low
46447,45447,2023-10-20 03:26:24,Video Editor,AutoGPT,Learning New Topic,4,high,8.0,3.268871782818225,47.31,high,7,4,8.2,0,0,none,8,low,0,paid,12,medium
32526,49027,2023-07-03 09:05:00,Judge,Perplexity AI,Legal Drafting,3,low,7.5,3.258605459560415,42.41,medium,8,1,6.2,0,1,hallucination,8,medium,0,free,53,medium
9038,109214,2024-07-20 18:41:56,Electrical Engineer,Cursor AI,Image Generation,6,medium,9.0,3.860665080598896,51.39,high,9,3,3.96,0,1,incomplete,5,medium,1,freemium,54,medium
30484,30865,2024-11-08 20:48:18,Electrical Engineer,Grammarly AI,Code Debugging,4,high,8.0,5.88780773959561,21.12,high,7,4,4.1,0,0,none,5,low,1,paid,15,medium
13316,146937,2024-05-25 13:20:12,Video Editor,GitHub Copilot,Marketing Copy,3,low,7.5,3.8580232243146604,36.42,medium,6,4,4.56,0,0,none,9,medium,1,paid,30,high
18340,44179,2024-04-29 14:26:22,Doctor,Perplexity AI,Legal Drafting,6,high,9.0,4.730086649034325,42.7,high,9,3,4.32,1,0,none,10,medium,1,free,52,high
49115,37410,2024-05-01 04:39:41,Sales Executive,Gemini,Medical Notes,2,medium,7.0,4.17820757596736,28.22,medium,6,4,4.12,1,0,none,8,low,0,free,9,medium
36610,45967,2023-11-02 14:41:16,Scientist,Midjourney,Research Summary,2,high,7.0,4.001810973366627,29.98,medium,7,3,8.08,0,1,incomplete,7,low,1,free,6,low
32780,101431,2024-01-10 21:07:27,Mechanical Engineer,Synthesia,Marketing Copy,1,medium,6.5,3.346833583375421,31.53,medium,6,1,4.82,0,0,none,10,low,0,freemium,34,medium
44504,193449,2024-09-05 04:06:15,Software Developer,Pictory,Data Analysis,1,low,6.5,4.26480295878812,22.35,medium,7,5,8.48,0,1,incomplete,10,medium,0,freemium,45,medium
8891,195066,2023-12-03 15:16:09,Consultant,DALL-E,Image Generation,5,medium,10.0,3.139762481201166,68.6,high,10,4,6.88,0,0,none,10,low,1,paid,56,high
6359,1728,2024-06-13 16:43:10,Architect,Cursor AI,Exam Preparation,5,medium,8.5,4.3897092410120155,41.1,high,9,3,4.78,1,0,none,6,high,0,paid,18,high
2943,73451,2024-07-12 05:05:08,Judge,Gemini,Exam Preparation,3,medium,7.5,4.465673936519309,30.34,medium,8,4,7.25,0,1,incomplete,5,medium,0,paid,60,high
